iperf3 -c 129.127.230.14 -t 60
Connecting to host 129.127.230.14, port 5201
[  5] local 129.127.230.41 port 41816 connected to 129.127.230.14 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.39 MBytes  11.7 Mbits/sec    0    100 KBytes       
[  5]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0   1.53 MBytes       
[  5]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.53 MBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    1   1.46 MBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.07 MBytes       
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0   1.13 MBytes       
[  5]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.20 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  59.2 MBytes  8.27 Mbits/sec    1             sender
[  5]   0.00-60.27  sec  57.9 MBytes  8.06 Mbits/sec                  receiver

iperf Done.

